time,ls_ratio_overall,price,L_ratio
1674161154307,0.8875047187617969,21092.7,0.4702
1674161159591,0.886080724254998,21090.3,0.46979999999999994
1674161164779,0.8917896329928112,21087.9,0.4714
1674161169176,0.873711823121604,21090.3,0.46630000000000005
1674161174505,0.8835938971557731,21091.0,0.46909999999999996
1674161179547,0.8660197798096658,21086.3,0.46409999999999996
1674161184840,0.8611576400521125,21084.1,0.4627
1674161214241,0.8597731076808628,21081.5,0.46229999999999993
1674161219463,0.8628912071535022,21083.4,0.4632
1674161224669,0.893939393939394,21084.7,0.47200000000000003
1674161229017,0.8942981625307824,21084.6,0.4721
1674161234343,0.9073049780659928,21087.6,0.4757
1674161239949,0.8853695324283559,21086.8,0.46959999999999996
1674161244365,0.8864365214110546,21086.8,0.4699
1674161279667,0.8921475875118259,21088.6,0.4715
1674161283874,1.54323499491353,21088.6,0.6067999999999999
1674161289119,1.5374270489723425,21089.6,0.6059
1674161294571,1.5458248472505092,21088.8,0.6072
1674161299852,1.5113008538422903,21085.2,0.6017999999999999
1674161304099,1.4832381425378691,21084.8,0.5972999999999999
1674161309504,1.4813895781637718,21084.1,0.597
1674161339082,1.5,21086.5,0.6
1674161344404,1.2406453058480842,21089.8,0.5537
1674161349616,1.2558087074216109,21089.9,0.5567
1674161354859,1.2568269013766642,21089.9,0.5569
1674161359323,1.2593764121102575,21089.9,0.5574
1674161364547,1.270663033605813,21091.4,0.5596
1674161369635,1.2639800769753224,21090.3,0.5583
1674161399881,1.3132084200786494,21090.4,0.5677
1674161404377,0.927153594141453,21090.9,0.48109999999999997
1674161409706,0.9603999215840032,21093.6,0.48990000000000006
1674161413965,0.966568338249754,21089.5,0.49149999999999994
1674161419280,0.9743336623889438,21086.8,0.4935
1674161423943,0.968503937007874,21087.9,0.49199999999999994
1674161429133,0.9654088050314464,21090.9,0.49119999999999997
1674161458846,0.9135093761959434,21085.9,0.4774
1674161464287,1.1190930281839373,21085.0,0.5281
1674161469551,1.1003990758244069,21083.5,0.5239000000000001
1674161474873,1.113718030014796,21086.9,0.5269
1674161479067,1.105706464518846,21087.0,0.5250999999999999
1674161484158,1.105706464518846,21085.2,0.5250999999999999
1674161489499,1.105706464518846,21087.3,0.5250999999999999
1674161518936,1.143163309044149,21089.0,0.5334
1674161524595,1.2321428571428572,21089.1,0.552
1674161528882,1.2311468094600624,21089.0,0.5518
1674161534497,1.2507314877335134,21092.7,0.5557000000000001
1674161539002,1.2768670309653916,21092.7,0.5608000000000001
1674161544527,1.3169601482854496,21095.1,0.5684
1674161549827,1.2999080036798532,21095.9,0.5652
1674161584393,1.4342745861733204,21093.6,0.5892000000000001
1674161588996,1.3854961832061068,21091.4,0.5808
1674161594541,1.3957834211787252,21091.3,0.5825999999999999
1674161599021,1.3062730627306274,21087.5,0.5664
1674161604439,1.2227161591464768,21087.1,0.5501
1674161609577,1.0222446916076844,21086.5,0.5055
1674161613875,0.9493177387914232,21087.5,0.48700000000000004
1674161644293,0.7860332202178959,21089.1,0.44009999999999994
1674161649688,0.7768301350390903,21089.0,0.4372
1674161654095,0.7812611328820805,21089.0,0.4386
1674161659191,0.7755681818181818,21087.7,0.4368
1674161664624,0.757469244288225,21086.8,0.431
1674161669055,0.7695983011856309,21088.9,0.4349
1674161674598,0.7946877243359656,21091.4,0.4428
1674161704301,0.7956545160711079,21091.2,0.4431
1674161708571,0.836210062431142,21094.1,0.4554
1674161714262,0.8646280067126607,21094.2,0.46369999999999995
1674161719639,0.8864365214110546,21092.7,0.4699
1674161724765,0.9135093761959434,21092.7,0.4774
1674161729158,0.9171779141104296,21092.9,0.4784
1674161734523,0.9275250578257516,21093.6,0.48119999999999996
1674161763999,1.14638334406525,21098.4,0.5340999999999999
1674161769656,1.1547080370609784,21098.3,0.5358999999999999
1674161774721,1.1349274124679758,21098.3,0.5316
1674161779066,1.1353833013025838,21098.3,0.5317
1674161784369,1.0863759649488838,21094.3,0.5207
1674161789831,1.0665426741062205,21092.7,0.5161
1674161794422,1.0271639975674032,21094.8,0.5067
1674161829634,0.7349063150589868,21090.7,0.4236
1674161833871,0.7325017325017326,21090.6,0.4228
1674161839079,0.7376194613379671,21091.3,0.42450000000000004
1674161844852,0.7238407171177383,21091.4,0.4199
1674161849004,0.7059024223814399,21090.0,0.4138
1674161854463,0.6998130205677376,21088.8,0.41170000000000007
1674161859847,0.6914749661705007,21088.8,0.4088
1674161889686,0.9542700801250732,21093.0,0.48829999999999996
1674161893919,0.9466614755693986,21092.4,0.4863
1674161899012,0.9872813990461048,21093.0,0.49679999999999996
1674161904477,0.9872813990461048,21093.5,0.49679999999999996
1674161909105,1.0028039254956942,21093.5,0.5007
1674161914538,1.0316944331572533,21094.7,0.5078000000000001
1674161919846,1.0420665713702266,21096.3,0.5103
1674161949375,1.1691973969631235,21095.2,0.539
1674161953706,1.1682567215958368,21095.2,0.5388
1674161959067,1.1944261575597979,21097.8,0.5442999999999999
1674161964522,1.2084805653710249,21098.7,0.5472
1674161968959,1.2391401701746532,21099.3,0.5534000000000001
1674161974437,1.2326412145568209,21099.0,0.5521
1674161979731,1.18435998252512,21097.9,0.5422
1674162009781,0.9127773527161438,21098.2,0.4772
1674162014878,1.0781379883624274,21099.9,0.5188
1674162019161,1.0716801325875285,21100.2,0.5173000000000001
1674162024649,1.5523226135783563,21104.9,0.6082
1674162028943,1.3239600278875203,21101.3,0.5697
1674162034551,1.2977941176470589,21098.4,0.5648
1674162038955,1.18435998252512,21090.1,0.5422
1674162069766,1.0903010033444815,21083.9,0.5216000000000001
