time,symbol,ls_ratio_overall,ls_ratio_Binance,ls_ratio_OKX,ls_ratio_Bitget,ls_ratio_CoinEx,ls_ratio_Deribit,ls_ratio_Bitfinex,ls_ratio_dYdX,ls_ratio_Bitmex,ls_ratio_Bybit,ls_ratio_Huobi,ls_ratio_Kraken,price,time_diff_ms
1674195999607,BTC,2.0543677458766036,2.0358227079538556,4.094243504839532,None,9.373443983402488,3.215851602023609,1.2588660492432797,2.4199726402188784,3.128819157720892,1.1181952976064393,0.9817677368212445,0.5780337699226764,20977.9,28
1674196029648,BTC,1.680246582685607,1.5634452704434763,3.9019607843137254,None,8.823182711198427,1.129471890971039,0.6048788316482105,2.3636057854019508,1.3952095808383234,1.0521239482864766,0.37589433131535493,0.32696390658174096,20978.0,267
1674196034756,BTC,1.6788106080900083,1.564102564102564,3.897159647404505,None,8.823182711198427,1.129471890971039,0.6321201240411294,2.3636057854019508,1.4102193299590262,1.052545155993432,0.38197899391929246,0.32696390658174096,20978.1,1050
1674196039345,BTC,1.6752273943285176,1.5693730729701951,3.9043648847474253,None,8.823182711198427,1.129471890971039,0.6321201240411294,2.3636057854019508,1.4102193299590262,1.073828287017835,0.32625994694960214,0.32696390658174096,20978.3,478
1674196044366,BTC,1.6392187912377936,1.5182573659027951,3.8614487117160916,None,8.823182711198427,1.129471890971039,0.6321201240411294,2.2873109796186717,1.4102193299590262,1.0828993959591753,0.3273161667109105,0.32696390658174096,20977.1,44
1674196049386,BTC,1.6274303730951127,1.5056376847907795,3.8638132295719845,None,8.852216748768472,1.129471890971039,0.6321201240411294,2.309066843150232,1.4102193299590262,1.0742584526031944,0.32643586682583897,0.32696390658174096,20977.2,528
1674196054506,BTC,1.6399155227032733,1.5119316754584273,3.803073967339097,None,8.852216748768472,1.129471890971039,0.6321201240411294,2.309066843150232,1.4102193299590262,1.1372088053002778,0.3273161667109105,0.32696390658174096,20977.1,687
1674196059543,BTC,1.6483050847457628,1.5169896803423109,3.7915668423574505,None,8.881422924901186,1.129471890971039,0.6321201240411294,2.309066843150232,1.4142926122646065,1.1715526601520088,0.32327643244673815,0.32696390658174096,20978.1,484
1674196094221,BTC,1.9788501638367593,1.6616981634282673,3.885197850512946,None,10.037527593818984,0.9821605550049552,0.5477480266212661,3.812319538017324,1.7754648903691368,2.4891835310537336,0.381406271584473,0.0958904109589041,20979.2,633
1674196099385,BTC,1.9824038174768863,1.665955745134631,3.887585532746823,None,10.325028312570781,0.9821605550049552,0.5477480266212661,3.812319538017324,1.7754648903691368,2.4928396786587497,0.3793103448275862,0.0958904109589041,20980.1,734
1674196104525,BTC,1.9655990510083037,1.6602819898909282,3.828585224529213,None,10.325028312570781,0.9821605550049552,0.5477480266212661,3.812319538017324,1.7754648903691368,2.4855350296270475,0.3542795232936078,0.0958904109589041,20981.0,584
1674196109814,BTC,1.9673590504451035,1.6666666666666667,3.8007681228996644,None,10.325028312570781,0.9912385503783354,0.5477480266212661,3.812319538017324,1.7754648903691368,2.4940600978336827,0.3511687609782461,0.0958904109589041,20981.3,608
1674196114257,BTC,1.958579881656805,1.6602819898909282,3.793863854266539,None,10.325028312570781,0.9912385503783354,0.6051364365971108,3.812319538017324,1.793296089385475,2.484320557491289,0.3484358144552319,0.0958904109589041,20982.0,517
1674196119269,BTC,1.9282576866764274,1.6068821689259647,3.7961630695443644,None,10.312217194570136,0.9912385503783354,0.528350909368791,3.812319538017324,1.793296089385475,2.635041802980734,0.3484358144552319,0.0958904109589041,20982.3,505
1674196124654,BTC,1.9291154071470415,1.618486514794449,3.6794571829667753,None,10.312217194570136,0.9912385503783354,0.5556938394523957,3.812319538017324,1.793296089385475,2.6643459142543056,0.34716421931833485,0.0958904109589041,20982.4,1074
1674196149472,BTC,1.6274303730951127,1.388344877000239,2.769317753486619,None,1.8968713789107763,1.0230629172567267,0.8044027426921688,4.037783375314861,1.5621316935690495,2.883495145631068,0.3196093956188968,0.0958904109589041,20983.0,572
1674196154697,BTC,1.6157467957101754,1.377555872563005,2.748125937031484,None,1.8968713789107763,1.0230629172567267,0.8044027426921688,4.037783375314861,1.5621316935690495,2.881987577639751,0.3125082031762698,0.0958904109589041,20982.5,895
1674196159762,BTC,1.5169896803423109,1.2701475595913736,2.7105751391465676,None,1.8161081385525204,1.0230629172567267,0.6672224074691565,3.74158368895211,1.5562372188139062,2.7893141341417205,0.3116474291710389,0.09194147193710417,20978.4,898
1674196163923,BTC,1.4551927326295115,1.2406453058480842,2.4482758620689653,None,1.2686025408348458,1.0230629172567267,0.5701051970482023,3.74158368895211,1.4606299212598426,2.5498757543485975,0.3097576948264571,0.09194147193710417,20978.4,337
1674196169750,BTC,1.451581269919098,1.2588660492432797,2.356831151393085,None,1.2665457842248415,0.9892580067634771,0.5190642564180465,3.74158368895211,1.2040996253030638,2.4928396786587497,0.3089005235602094,0.09194147193710417,20977.4,245
1674196174198,BTC,1.4479804161566707,1.2558087074216107,2.3500837520938025,None,1.2665457842248415,0.9892580067634771,0.49745432764300684,3.74158368895211,1.2040996253030638,2.483106931382794,0.3087292239235702,0.09194147193710417,20977.5,491
1674196179071,BTC,1.4551927326295115,1.2696323195642305,2.3366700033366703,None,1.2655188038060716,0.9892580067634771,0.49745432764300684,3.74158368895211,1.2055580061755622,2.4818941504178276,0.3082155939298796,0.09194147193710417,20977.6,120
1674196184430,BTC,1.4588148512417014,1.2773855613755412,2.328894806924101,None,1.2655188038060716,0.9892580067634771,0.49745432764300684,3.74158368895211,1.2055580061755622,2.4818941504178276,0.3044612575006522,0.09194147193710417,20978.1,719
1674196214721,BTC,1.6130128037627383,1.3293733985557885,3.0716612377850163,None,3.4702726866338844,2.79794910748196,0.4520110352838681,19.0,2.399048266485384,3.2498937526561833,0.2214486380847685,0.09637101195044402,20973.5,135
1674196219864,BTC,1.5169896803423109,1.2271714922048997,3.0617384240454912,None,3.246284501061571,2.79794910748196,0.4520110352838681,19.0,2.399048266485384,3.23190859077444,0.21966093426027566,0.09637101195044402,20973.5,1457
1674196224011,BTC,1.4968789013732835,1.2114108801415304,3.0436716538617063,None,3.246284501061571,2.79794910748196,0.4520110352838681,20.186440677966104,1.6888948642108095,3.210526315789474,0.2217470983506414,0.09637101195044402,20973.0,641
1674196229604,BTC,1.4813895781637718,1.2138587558113791,2.8051750380517504,None,3.266211604095563,2.79794910748196,0.38753989177188847,16.825311942959,1.6888948642108095,3.1928721174004195,0.2413108242303873,0.09637101195044402,20977.6,493
1674196234042,BTC,1.4783147459727384,1.2119000221190002,2.7678975131876413,None,3.266211604095563,2.79794910748196,0.38753989177188847,16.825311942959,1.6888948642108095,3.1946308724832213,0.2413108242303873,0.09637101195044402,20977.7,196
1674196239066,BTC,1.4826216484607746,1.2143489813994688,2.779289493575208,None,3.266211604095563,2.79794910748196,0.38753989177188847,16.825311942959,2.0618493570116354,3.1823504809703054,0.2413108242303873,0.09637101195044402,20978.0,66
1674196244352,BTC,1.4497795198432142,1.18435998252512,2.7537537537537538,None,3.266211604095563,2.79794910748196,0.38753989177188847,16.825311942959,2.0693677102516883,3.0899795501022496,0.2413108242303873,0.09637101195044402,20978.0,351
1674196274185,BTC,0.9774569903104607,0.8628912071535022,0.9588638589618023,None,0.8278194114421494,0.3301409949454642,0.24007936507936506,1.388344877000239,0.8433179723502304,2.5778175313059033,0.3299640909695438,0.0,20984.0,189
1674196279386,BTC,1.014098690835851,0.8900018900018901,0.9696671262556626,None,0.8278194114421494,0.3301409949454642,0.29634430904848325,0.7170329670329669,0.8484288354898336,2.763643206624012,0.3800717637317141,0.10864745011086475,20985.0,430
1674196284447,BTC,0.9864918553833928,0.8433179723502304,1.043318348998774,None,0.9976028765481422,0.6116035455278003,0.29634430904848325,0.38638569249965343,0.8487705675725641,2.920031360250882,0.37703112090333235,0.10864745011086475,20985.0,509
1674196289819,BTC,1.043318348998774,0.893580761219466,1.2002200220022001,None,1.0080321285140563,0.6116035455278003,0.3528138528138528,0.38811771238201,0.8515089798185522,3.0080160320641283,0.3793103448275862,0.10864745011086475,20986.5,483
1674196294841,BTC,1.1079258010118045,0.886080724254998,1.1910604732690622,None,1.847380410022779,0.6116035455278003,0.3528138528138528,0.4322543683758236,0.8515089798185522,3.81000481000481,0.3793103448275862,0.10864745011086475,20987.7,12
1674196299784,BTC,1.1308331557639038,0.8942981625307824,1.0092425155716294,None,1.847380410022779,0.6116035455278003,0.3846579894765993,0.4322543683758236,0.8515089798185522,4.230125523012552,0.3693002875530604,0.10864745011086475,20987.7,204
1674196304040,BTC,1.1353833013025838,0.8765246762994934,1.0100502512562815,None,13.285714285714286,0.6116035455278003,0.3846579894765993,0.4322543683758236,0.8515089798185522,4.2493438320209975,0.3664935774801858,0.10864745011086475,20985.1,287
1674196339221,BTC,1.1486892995272884,0.8615040953090097,1.1772262138036143,None,13.388489208633093,0.6116035455278003,0.2993762993762994,0.4056789429294349,0.5003750937734434,4.296610169491526,0.4033118158854897,0.10864745011086475,20986.5,207
1674196344298,BTC,1.145002145002145,0.8635855385762208,1.1340162185232607,None,13.388489208633093,0.6116035455278003,0.2993762993762994,0.4056789429294349,0.5003750937734434,4.22466039707419,0.4033118158854897,0.10864745011086475,20986.5,232
1674196349490,BTC,1.1468441391155002,0.8604651162790697,1.1896211955331726,None,13.388489208633093,0.6116035455278003,0.2993762993762994,0.4056789429294349,0.5003750937734434,4.2328623757195185,0.40350877192982454,0.10864745011086475,20986.5,224
1674196354881,BTC,1.1547080370609784,0.8709073900841907,1.1853146853146854,None,13.388489208633093,0.6116035455278003,0.2993762993762994,0.4056789429294349,0.4997000599880024,4.238344683080147,0.4150275930380642,0.10864745011086475,20986.4,222
1674196359069,BTC,1.163565556036348,0.8740629685157422,1.247696111485727,None,13.388489208633093,1.9197080291970803,0.2993762993762994,0.4056789429294349,0.4997000599880024,4.293806246691371,0.4363688595231255,0.10864745011086475,20988.5,104
1674196364729,BTC,1.1654395842355998,0.8782870022539443,1.246686137946529,None,12.927576601671309,1.9197080291970803,0.2993762993762994,0.40686550365785035,0.4997000599880024,4.279831045406547,0.4363688595231255,0.10864745011086475,20987.9,561
1674196369960,BTC,1.1724961981316533,0.8828845791752966,1.2920009168003666,None,12.927576601671309,1.9197080291970803,0.2993762993762994,0.4078558355624384,0.4997000599880024,4.293806246691371,0.4363688595231255,0.10864745011086475,20988.0,1252
1674196399821,BTC,1.1299254526091584,0.8691588785046729,1.2522522522522523,None,12.531799729364005,13.22475106685633,0.2503125781445361,0.5026296018031556,0.59846547314578,2.6995930447650758,0.9238168526356292,0.21212121212121213,20989.7,1008
1674196404759,BTC,1.207505518763797,0.893580761219466,1.3299161230195713,None,12.531799729364005,14.552099533437014,0.3161358252171624,0.5026296018031556,0.6906170752324599,3.1442188147534194,0.8389113644722324,0.21212121212121213,20992.3,874
1674196408998,BTC,1.2158209616662972,0.8964536317087048,1.3315458148752624,None,12.550135501355014,14.552099533437014,0.3161358252171624,0.5026296018031556,0.8559762435040831,3.1823504809703054,0.8450184501845017,0.21212121212121213,20992.4,28
1674196414246,BTC,1.2644927536231885,0.9175455417066156,1.4721878862793571,None,12.550135501355014,14.552099533437014,0.3533631073216944,0.5026296018031556,0.8559762435040831,3.372540445999125,0.8450184501845017,0.21212121212121213,20992.8,54
1674196419501,BTC,1.2810218978102188,0.9565642731363726,1.391772303276728,None,12.550135501355014,15.33986928104575,0.3533631073216944,0.4124293785310735,0.9782393669634026,3.4365572315882873,0.6286644951140066,0.21212121212121213,20993.7,315
1674196424266,BTC,1.2967386311437759,0.9654088050314464,1.3912003825920611,None,12.550135501355014,15.33986928104575,0.3533631073216944,0.5785319652722968,0.9782393669634026,3.524886877828054,0.614465611882467,0.17096018735362997,20993.2,365
1674196429459,BTC,1.3207240659085633,0.9817677368212445,1.388344877000239,None,12.550135501355014,15.33986928104575,0.3533631073216944,0.5785319652722968,0.9782393669634026,3.633920296570899,0.614465611882467,0.17096018735362997,20993.2,263
1674196464075,BTC,1.5,1.1258503401360545,1.6780931976432778,None,4.945303210463734,29.03003003003003,0.46241591108511265,0.4940983116689078,0.8335166850018335,3.6168051708217916,0.4947683109118087,0.2473493825620556,20984.3,349
1674196469472,BTC,1.5006251562890722,1.1150592216582065,1.6860059092130004,None,4.945303210463734,29.03003003003003,0.46241591108511265,0.4940983116689078,0.8335166850018335,3.6554934823091245,0.4947683109118087,0.2473493825620556,20984.4,229
1674196474686,BTC,1.4752475247524752,1.0907380305247754,1.6874496103198064,None,4.9523809523809526,29.03003003003003,0.46241591108511265,0.4940983116689078,0.8335166850018335,3.6425255338904363,0.4898688915375447,0.2473493825620556,20984.4,676
1674196479861,BTC,1.4703557312252966,1.0885547201336674,1.6809651474530833,None,4.9523809523809526,29.03003003003003,0.46241591108511265,0.4940983116689078,0.8335166850018335,3.5977011494252875,0.515610791148833,0.2473493825620556,20984.3,1264
1674196484255,BTC,1.4807740014884643,1.1026072329688814,1.6881720430107525,None,4.9523809523809526,29.03003003003003,0.46241591108511265,0.4940983116689078,0.8335166850018335,3.5934772622875517,0.515610791148833,0.2473493825620556,20984.3,612
1674196489483,BTC,1.4740227610094012,1.094240837696335,1.6702269692923897,None,4.820721769499418,29.03003003003003,0.46241591108511265,0.4940983116689078,0.8335166850018335,3.6168051708217916,0.5176809834572773,0.2473493825620556,20984.3,265
