time,symbol,ls_ratio_overall,ls_ratio_Binance,ls_ratio_OKX,ls_ratio_Bitget,ls_ratio_CoinEx,ls_ratio_Deribit,ls_ratio_Bitfinex,ls_ratio_dYdX,ls_ratio_Bitmex,ls_ratio_Bybit,ls_ratio_Huobi,ls_ratio_Kraken,price,time_diff_ms,L_ratio,Signal
1674223624527,BTC,1.628120893561104,1.4467824810374361,2.998400639744102,1.1791239921551535,3.814636494944632,1.009646302250804,0.5033072760072158,0.8365472910927455,1.9095141111434388,4.730659025787966,0.5607928827844546,2.4806822137138878,21085.2,930,0.6194999999999999,sell
1674223628848,BTC,1.6274303730951127,1.4283632831471589,3.7438330170777987,1.118195297606439,3.814636494944632,1.009646302250804,0.5033072760072158,0.8365472910927455,1.9095141111434388,4.704506560182544,0.5750511891636477,2.4806822137138878,21085.3,1077,0.6194000000000001,sell
1674223634516,BTC,1.6357406431207169,1.4289531212047606,3.752851711026616,1.1505376344086022,3.796163069544365,1.009646302250804,0.5033072760072158,0.8365472910927455,1.9180040852057192,4.558643690939412,0.5750511891636477,2.4806822137138878,21085.3,373,0.6206,sell
1674223639673,BTC,1.5471217524197658,1.3702299123014934,2.7425149700598803,1.1500752526338422,2.265839320705421,0.9357336430507164,0.5033072760072158,0.8335166850018335,1.8449502133712656,3.807692307692308,0.5634771732332707,2.4806822137138878,21082.1,1289,0.6074,sell
1674223684185,BTC,1.0846362309776945,0.8975332068311195,1.855511136493432,1.2143489813994688,0.9353590090961872,0.5262515262515263,0.08248538644728297,0.6742005692281936,1.1510002151000214,1.5947067981318113,0.6207455429497568,2.3333333333333335,21067.5,1109,0.5203,sell
1674223689194,BTC,1.077274615704196,0.9331142470520007,1.7662517289073307,1.121790791427965,0.9474196689386564,0.4907573047107931,0.08248538644728297,0.6722408026755854,1.1244954323348204,1.5581990278843691,0.6744809109176155,2.3333333333333335,21065.6,36,0.5186,sell
1674223694370,BTC,1.0661157024793388,0.9168104274487252,1.7389756231169544,1.1244954323348204,0.9470404984423676,0.4907573047107931,0.08248538644728297,0.6722408026755854,1.118195297606439,1.553626149131767,0.6742005692281936,2.3333333333333335,21063.8,90,0.516,sell
1674223699342,BTC,1.026342451874367,0.8646280067126607,1.7048958615093317,1.1039343572480538,0.9470404984423676,0.49120190873844316,0.08248538644728297,0.6722408026755854,1.1114864864864864,1.5471217524197658,0.6722408026755854,2.3333333333333335,21064.5,646,0.5065000000000001,buy
1674223744150,BTC,0.8066847335140017,0.6917611233293859,1.33590282644242,0.9786307874950536,0.6038492381716118,0.19090151244492082,0.07296137339055793,0.65809981760902,0.7289073305670815,1.0032051282051282,0.5096618357487923,2.486750348675035,21067.5,42,0.44649999999999995,buy
1674223749090,BTC,0.8083182640144666,0.7009695526450077,1.256317689530686,0.9762845849802372,0.6038492381716118,0.19090151244492082,0.07296137339055793,0.65809981760902,0.7289073305670815,1.0012007204322595,0.5053439710973957,2.486750348675035,21067.5,1062,0.447,buy
1674223754258,BTC,0.8191740949608878,0.7182130584192439,1.2568269013766642,1.0149103364900258,0.6002560409665546,0.14797382619676272,0.07296137339055793,0.65809981760902,0.7289073305670815,1.0028039254956942,0.5114873035066506,2.486750348675035,21067.6,86,0.4503,buy
1674223759364,BTC,0.8248175182481753,0.7247326664367024,1.2603978300180831,1.016535591853196,0.6005121638924457,0.14797382619676272,0.0750376263169211,0.65809981760902,0.7289073305670815,1.010454362685967,0.5346838551258442,2.486750348675035,21067.6,1197,0.452,buy
1674223804255,BTC,0.7126220243192327,0.6035920461834511,1.0716801325875285,0.9688915140775743,0.2730744748567791,0.08389334489486235,0.01399310484688704,0.2481278082875686,0.7488632388947184,0.9204916458613404,0.4269406392694065,0.7803097739006587,21065.5,188,0.41609999999999997,buy
1674223809246,BTC,0.723543605653223,0.6249593760155996,1.0661157024793388,0.9677292404565132,0.2730744748567791,0.08389334489486235,0.01399310484688704,0.2481278082875686,0.7488632388947184,0.9193857965451055,0.4265335235378032,0.7803097739006587,21065.6,630,0.41979999999999995,buy
1674223814386,BTC,0.7433751743375174,0.6388069485414617,1.1244954323348204,1.0157226365652086,0.2727504136438845,0.08389334489486235,0.01399310484688704,0.2503125781445361,0.7442874585731729,0.9193857965451055,0.4253135689851768,0.7803097739006587,21066.8,23,0.4264,buy
1674223819703,BTC,0.8355359765051396,0.7618040873854828,1.1791239921551535,1.028809089064719,0.4174344436569809,0.3601741022850925,0.9409937888198756,0.29533678756476683,0.9561815336463224,0.9782393669634026,0.4277555682467161,0.9062142584826535,21072.0,1086,0.4552,buy
1674223864629,BTC,0.7361111111111109,0.7015484090522375,0.8162005085361423,1.289901534234028,0.2627857052658164,0.4819205690574985,1.021427127552052,0.15326951908661055,0.5948963317384369,0.2926577042399173,0.36855070480361296,2.5880875493362034,21070.3,996,0.42399999999999993,buy
1674223869768,BTC,0.7376194613379671,0.7018379850238258,0.8165304268846504,1.289901534234028,0.27681307456588355,0.5019525382997898,1.021427127552052,0.15326951908661055,0.7467248908296943,0.29533678756476683,0.3724951962668131,2.5880875493362034,21070.2,685,0.42450000000000004,buy
1674223874868,BTC,0.7624250969333802,0.7102787754403969,0.8155410312273058,1.2172949002217297,0.2889920082495489,0.5192950470981466,1.021427127552052,0.15326951908661055,0.9065776930409912,0.4749262536873157,0.3724951962668131,2.9339103068450036,21071.7,1840,0.43259999999999993,buy
1674223879181,BTC,0.7755681818181818,0.7185083347654236,0.8284878405558603,1.23463687150838,0.2889920082495489,0.5470297029702971,1.02552157180474,0.15326951908661055,0.9065776930409912,0.4777597162701344,0.7001020061203672,2.9339103068450036,21073.6,107,0.4368,buy
1674223924583,BTC,1.2421524663677128,1.2768670309653916,0.4808233377758033,1.4795437639474338,0.7847581652686061,1.2941041523285155,475.1904761904762,0.5842839036755387,6.423904974016333,1.0120724346076455,2.004807692307692,None,21074.2,853,0.5539999999999999,sell
1674223929905,BTC,1.2461814914645102,1.2836263987211691,0.4808233377758033,1.476473501733531,0.8168604651162791,1.334267040149393,475.1904761904762,0.5842839036755387,7.525149190110826,1.0177562550443906,2.004807692307692,0.09637101195044402,21075.2,313,0.5548000000000001,sell
1674223934797,BTC,1.3775558725630048,1.4727992087042534,0.49947518368571,1.511931675458427,0.9477989871445266,1.595380223202699,475.1904761904762,0.5842839036755387,7.237232289950576,1.1654395842355998,2.0257186081694405,0.9316206297083252,21077.2,1455,0.5793999999999999,sell
1674223939822,BTC,1.3546032493524842,1.4336821611097588,0.4766686355581808,1.5176233635448138,0.9477989871445266,1.595380223202699,10.363636363636363,0.5583606046439146,7.237232289950576,1.164970772894566,2.0220610456331216,0.9316206297083252,21074.4,133,0.5752999999999999,sell
1674223984926,BTC,1.6659557451346307,1.804262478968032,0.5547263681592041,1.445585717779408,1.220741727737064,2.5650623885918002,83.7457627118644,1.1677866897897249,5.199628022318661,2.445899379738112,2.327787021630616,1.1235931195582924,21080.9,1017,0.6249,sell
1674223989126,BTC,1.7225701061802343,1.8240609997175945,0.564945226917058,1.5647601949217746,1.5348542458808616,2.6363636363636362,118.04761904761904,1.1720243266724588,6.163323782234957,2.522367030644593,2.2840722495894905,1.6588673225206063,21083.5,483,0.6326999999999999,sell
1674223994401,BTC,1.7662517289073307,1.8702640642939148,0.5676438313215237,1.5713551041398817,1.5348542458808616,2.6941263391207984,118.04761904761904,1.1720243266724588,6.163323782234957,2.5625222657641613,4.012531328320802,1.6588673225206063,21083.9,606,0.6385000000000001,sell
1674223999304,BTC,1.767017155506364,1.8768699654775605,0.6131634134537828,1.5335697998479858,2.053435114503817,2.7608123354644603,118.04761904761904,1.1720243266724588,6.1890726096333575,2.586800573888092,4.025125628140703,1.6588673225206063,21084.0,285,0.6386,sell
1674224044616,BTC,1.3975065931431312,1.315886984715146,0.4727540500736377,1.4443901246638966,1.9069767441860463,8.881422924901186,10.641443538998836,3.387889425186485,2.465003465003465,2.1426775612822127,1.3998080153587713,1.1092596498628984,21074.9,168,0.5829000000000001,sell
1674224048905,BTC,1.3929169657812874,1.319109461966605,0.4712373105781963,1.443195699975568,1.9069767441860463,8.881422924901186,10.641443538998836,3.387889425186485,2.465003465003465,2.0413625304136254,1.4044241404183695,1.1092596498628984,21074.9,280,0.5821000000000001,sell
1674224054107,BTC,1.3957834211787252,1.338087444470423,0.5069318866787221,1.360717658168083,1.9069767441860463,8.881422924901186,11.484394506866414,3.405286343612335,2.466204506065858,2.125,1.4044241404183695,1.1753317380900588,21079.6,39,0.5825999999999999,sell
1674224059288,BTC,1.4224806201550386,1.3775558725630048,0.5243902439024389,1.358490566037736,2.36247478143914,8.980039920159681,11.484394506866414,3.364906154517678,2.8008361839604707,2.124023742580444,1.4021138601969731,1.1753317380900588,21081.5,46,0.5871999999999999,sell
1674224064532,BTC,1.4154589371980677,1.3854961832061068,0.528584530724549,1.303086135421465,2.36247478143914,8.569377990430622,11.484394506866414,3.364906154517678,2.8008361839604707,2.1162355874104084,1.4021138601969731,1.2988505747126438,21081.6,1301,0.586,sell
1674224109163,BTC,1.2883295194508009,1.238638907544213,0.7241379310344828,0.9425019425019426,2.418803418803418,5.1500615006150054,10.507479861910245,1.9489826010026543,2.37154416722859,3.1928721174004195,1.5759917568263782,1.18435998252512,21081.2,488,0.5630000000000001,sell
